NTID,Host IP,Host Name,Date and Time
lhstracener,10.36.181.0,unxws-86572,Jan 02 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 04 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 05 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 05 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 06 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 07 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 07 2012 04:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 07 2012 06:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 07 2012 08:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 08 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 09 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 10 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 11 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 11 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 11 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 12 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Jan 13 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 13 2012 04:00:00
lhstracener,10.208.63.35,msws-42322,Jan 13 2012 06:00:00
lhstracener,10.208.63.35,msws-42322,Jan 13 2012 08:00:00
lhstracener,10.247.159.26,ms-svr-46569,Jan 15 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Jan 15 2012 04:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 16 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 23 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 24 2012 02:00:00
lhstracener,10.208.63.35,msws-42322,Jan 30 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Jan 31 2012 02:00:00
lhstracener,10.50.169.133,lnxws-29010,Feb 02 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Feb 02 2012 04:00:00
lhstracener,10.247.159.26,ms-svr-46569,Feb 02 2012 06:00:00
lhstracener,10.36.181.0,unxws-86572,Feb 04 2012 02:00:00
lhstracener,10.247.159.26,ms-svr-46569,Feb 12 2012 02:00:00
lhstracener,10.36.181.0,unxws-86572,Feb 19 2012 02:00:00
lhstracener,10.136.89.129,unxws-24887,Feb 21 2012 02:00:00
